function,count
vec_new_from_linear_memory,1478
put_contract_data,1442
has_contract_data,1441
get_contract_data,1435
require_auth,1399
symbol_new_from_linear_memory,1343
call,1154
obj_from_i128_pieces,1136
map_new_from_linear_memory,1128
obj_to_i128_hi64,1068
obj_to_i128_lo64,1068
map_unpack_to_linear_memory,1050
bytes_len,1012
get_current_contract_address,959
vec_len,954
vec_new,945
vec_get,940
obj_cmp,916
extend_current_contract_instance_and_code_ttl,834
update_current_contract_wasm,827
contract_event,806
obj_to_u64,805
fail_with_error,763
obj_from_u64,756
extend_contract_data_ttl,666
string_new_from_linear_memory,656
vec_push_back,626
get_ledger_timestamp,617
obj_to_u128_hi64,493
obj_to_u128_lo64,493
obj_from_u128_pieces,490
vec_unpack_to_linear_memory,401
get_ledger_sequence,392
bytes_new_from_linear_memory,372
map_has,319
map_new,313
map_put,310
del_contract_data,308
map_get,307
bytes_append,299
serialize_to_bytes,267
vec_first_index_of,264
bytes_new,256
symbol_index_in_linear_memory,250
bytes_slice,222
authorize_as_curr_contract,217
bytes_front,213
compute_hash_sha256,213
strkey_to_address,169
get_max_live_until_ledger,167
bytes_copy_to_linear_memory,151
u256_val_from_be_bytes,149
create_contract,145
map_len,143
vec_del,135
u256_val_to_be_bytes,131
vec_put,130
string_len,127
u256_div,126
u256_mul,126
map_key_by_pos,124
map_val_by_pos,124
u256_add,124
vec_back,124
map_del,104
try_call,96
create_contract_with_constructor,91
compute_hash_keccak256,90
vec_front,82
map_keys,77
bytes_get,76
u256_rem_euclid,68
bytes_put,57
u256_sub,57
require_auth_for_args,56
string_copy_to_linear_memory,54
deserialize_from_bytes,53
vec_push_front,48
i256_div,45
i256_mul,45
i256_val_from_be_bytes,45
obj_from_i64,45
i256_sub,44
i256_val_to_be_bytes,43
i256_rem_euclid,42
obj_to_i64,42
address_to_strkey,41
bytes_push,41
bytes_copy_from_linear_memory,40
recover_key_ecdsa_secp256k1,39
verify_sig_ed25519,32
bls12_381_g1_add,29
bls12_381_hash_to_g2,29
bls12_381_multi_pairing_check,29
map_values,29
prng_bytes_new,29
i256_add,24
verify_sig_ecdsa_secp256r1,19
get_contract_id,18
log_from_linear_memory,18
vec_append,17
vec_insert,17
upload_wasm,14
vec_binary_search,14
vec_pop_front,13
prng_u64_in_inclusive_range,11
vec_pop_back,10
create_asset_contract,7
vec_slice,7
extend_contract_instance_and_code_ttl,6
prng_vec_shuffle,5
get_asset_contract_id,4
get_ledger_network_id,4
extend_contract_code_ttl,3
extend_contract_instance_ttl,3
i256_pow,3
vec_last_index_of,3
bytes_back,2
u256_pow,2
get_address_executable,1
get_id_from_muxed_address,1
string_to_bytes,1
